ticker,symbol,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume,gap,roll
WIN,WIN$N,M30,2021-06-30 09:00:00,1625043600,127400.0,127620.0,127190.0,127220.0,308609,5,1096554,,False
WIN,WIN$N,M30,2021-06-30 09:30:00,1625045400,127220.0,127390.0,126930.0,127280.0,311952,5,1306478,0.0,False
WIN,WIN$N,M30,2021-06-30 10:00:00,1625047200,127280.0,127445.0,127115.0,127300.0,351017,5,1528197,0.0,False
WIN,WIN$N,M30,2021-06-30 10:30:00,1625049000,127300.0,127765.0,127235.0,127520.0,366053,5,1700459,0.0,False
WIN,WIN$N,M30,2021-06-30 11:00:00,1625050800,127520.0,127660.0,126915.0,127115.0,374709,5,1806961,0.0,False
WIN,WIN$N,M30,2021-06-30 11:30:00,1625052600,127110.0,127265.0,126920.0,127090.0,294445,5,1388767,-5.0,False
WIN,WIN$N,M30,2021-06-30 12:00:00,1625054400,127085.0,127115.0,126750.0,127010.0,272525,5,1281917,-5.0,False
WIN,WIN$N,M30,2021-06-30 12:30:00,1625056200,127010.0,127485.0,126960.0,127465.0,215350,5,1040116,0.0,False
WIN,WIN$N,M30,2021-06-30 13:00:00,1625058000,127465.0,127835.0,127435.0,127640.0,225432,5,1089447,0.0,False
WIN,WIN$N,M30,2021-06-30 13:30:00,1625059800,127640.0,127710.0,127400.0,127520.0,152049,5,699536,0.0,False
WIN,WIN$N,M30,2021-06-30 14:00:00,1625061600,127520.0,127565.0,127325.0,127325.0,144348,5,691285,0.0,False
WIN,WIN$N,M30,2021-06-30 14:30:00,1625063400,127325.0,127350.0,126910.0,127300.0,249686,5,1253596,0.0,False
WIN,WIN$N,M30,2021-06-30 15:00:00,1625065200,127305.0,127675.0,127110.0,127560.0,224549,5,1093100,5.0,False
WIN,WIN$N,M30,2021-06-30 15:30:00,1625067000,127565.0,127710.0,127325.0,127400.0,203072,5,1022249,5.0,False
WIN,WIN$N,M30,2021-06-30 16:00:00,1625068800,127400.0,127535.0,127215.0,127410.0,161935,5,834133,0.0,False
WIN,WIN$N,M30,2021-06-30 16:30:00,1625070600,127410.0,127635.0,127230.0,127235.0,187016,5,967171,0.0,False
WIN,WIN$N,M30,2021-06-30 17:00:00,1625072400,127235.0,127355.0,126995.0,127090.0,130623,5,614421,0.0,False
WIN,WIN$N,M30,2021-06-30 17:30:00,1625074200,127090.0,127160.0,126985.0,126985.0,74766,5,297521,0.0,False
WIN,WIN$N,M30,2021-07-01 09:00:00,1625130000,127435.0,127595.0,127325.0,127525.0,217669,5,744208,450.0,False
WIN,WIN$N,M30,2021-07-01 09:30:00,1625131800,127525.0,127640.0,127425.0,127445.0,226274,5,905436,0.0,False
WIN,WIN$N,M30,2021-07-01 10:00:00,1625133600,127445.0,127735.0,127300.0,127480.0,437471,5,1922764,0.0,False
WIN,WIN$N,M30,2021-07-01 10:30:00,1625135400,127485.0,127545.0,126635.0,126760.0,574610,5,2574074,5.0,False
WIN,WIN$N,M30,2021-07-01 11:00:00,1625137200,126765.0,126890.0,126185.0,126305.0,502390,5,2174602,5.0,False
WIN,WIN$N,M30,2021-07-01 11:30:00,1625139000,126305.0,126615.0,126055.0,126465.0,335904,5,1545174,0.0,False
WIN,WIN$N,M30,2021-07-01 12:00:00,1625140800,126460.0,126565.0,125780.0,125860.0,370660,5,1627473,-5.0,False
WIN,WIN$N,M30,2021-07-01 12:30:00,1625142600,125855.0,126125.0,125720.0,126105.0,231005,5,1067410,-5.0,False
WIN,WIN$N,M30,2021-07-01 13:00:00,1625144400,126105.0,126270.0,125855.0,126030.0,207245,5,937248,0.0,False
WIN,WIN$N,M30,2021-07-01 13:30:00,1625146200,126030.0,126290.0,125990.0,126045.0,189806,5,887308,0.0,False
WIN,WIN$N,M30,2021-07-01 14:00:00,1625148000,126045.0,126195.0,125765.0,125770.0,200835,5,978398,0.0,False
WIN,WIN$N,M30,2021-07-01 14:30:00,1625149800,125765.0,125925.0,125515.0,125590.0,248980,5,1178656,-5.0,False
WIN,WIN$N,M30,2021-07-01 15:00:00,1625151600,125590.0,125965.0,125515.0,125930.0,214735,5,1068382,0.0,False
WIN,WIN$N,M30,2021-07-01 15:30:00,1625153400,125935.0,125935.0,125485.0,125570.0,238790,5,1248188,5.0,False
WIN,WIN$N,M30,2021-07-01 16:00:00,1625155200,125575.0,125920.0,125565.0,125915.0,161323,5,844266,5.0,False
WIN,WIN$N,M30,2021-07-01 16:30:00,1625157000,125915.0,126280.0,125725.0,126195.0,207247,5,1058066,0.0,False
WIN,WIN$N,M30,2021-07-01 17:00:00,1625158800,126190.0,126395.0,126110.0,126120.0,124164,5,577602,-5.0,False
WIN,WIN$N,M30,2021-07-01 17:30:00,1625160600,126125.0,126265.0,126055.0,126080.0,67711,5,281615,5.0,False
WIN,WIN$N,M30,2021-07-02 09:00:00,1625216400,126300.0,126675.0,126250.0,126350.0,277743,5,913759,220.0,False
WIN,WIN$N,M30,2021-07-02 09:30:00,1625218200,126350.0,127225.0,126080.0,127140.0,442998,5,1539250,0.0,False
WIN,WIN$N,M30,2021-07-02 10:00:00,1625220000,127140.0,127355.0,126955.0,126965.0,303612,5,1217824,0.0,False
WIN,WIN$N,M30,2021-07-02 10:30:00,1625221800,126960.0,127385.0,126790.0,127265.0,443243,5,1888669,-5.0,False
WIN,WIN$N,M30,2021-07-02 11:00:00,1625223600,127265.0,127370.0,126570.0,127340.0,462721,5,1941153,0.0,False
WIN,WIN$N,M30,2021-07-02 11:30:00,1625225400,127340.0,127620.0,127100.0,127480.0,317694,5,1384854,0.0,False
WIN,WIN$N,M30,2021-07-02 12:00:00,1625227200,127480.0,127720.0,127395.0,127645.0,239605,5,1053849,0.0,False
WIN,WIN$N,M30,2021-07-02 12:30:00,1625229000,127645.0,127760.0,127530.0,127670.0,150332,5,703153,0.0,False
WIN,WIN$N,M30,2021-07-02 13:00:00,1625230800,127665.0,127705.0,127540.0,127570.0,110894,5,540053,-5.0,False
WIN,WIN$N,M30,2021-07-02 13:30:00,1625232600,127570.0,127790.0,127455.0,127615.0,173195,5,836742,0.0,False
WIN,WIN$N,M30,2021-07-02 14:00:00,1625234400,127615.0,127930.0,127545.0,127865.0,191655,5,891809,0.0,False
WIN,WIN$N,M30,2021-07-02 14:30:00,1625236200,127865.0,128070.0,127800.0,127985.0,146207,5,674949,0.0,False
WIN,WIN$N,M30,2021-07-02 15:00:00,1625238000,127990.0,128330.0,127960.0,128230.0,181345,5,882799,5.0,False
WIN,WIN$N,M30,2021-07-02 15:30:00,1625239800,128230.0,128295.0,128110.0,128145.0,165678,5,826802,0.0,False
WIN,WIN$N,M30,2021-07-02 16:00:00,1625241600,128140.0,128195.0,128015.0,128150.0,144303,5,753194,-5.0,False
WIN,WIN$N,M30,2021-07-02 16:30:00,1625243400,128150.0,128310.0,128070.0,128300.0,125719,5,631823,0.0,False
WIN,WIN$N,M30,2021-07-02 17:00:00,1625245200,128300.0,128305.0,128100.0,128180.0,76628,5,339690,0.0,False
WIN,WIN$N,M30,2021-07-02 17:30:00,1625247000,128180.0,128430.0,128140.0,128420.0,68968,5,250991,0.0,False
WIN,WIN$N,M30,2021-07-05 09:00:00,1625475600,128000.0,128120.0,127755.0,128065.0,235548,5,800084,-420.0,False
WIN,WIN$N,M30,2021-07-05 09:30:00,1625477400,128065.0,128235.0,127965.0,128140.0,198186,5,710857,0.0,False
WIN,WIN$N,M30,2021-07-05 10:00:00,1625479200,128140.0,128150.0,127545.0,127780.0,449823,5,1746724,0.0,False
WIN,WIN$N,M30,2021-07-05 10:30:00,1625481000,127775.0,127845.0,127300.0,127320.0,289716,5,1195430,-5.0,False
WIN,WIN$N,M30,2021-07-05 11:00:00,1625482800,127320.0,127380.0,127125.0,127275.0,244788,5,1016366,0.0,False
WIN,WIN$N,M30,2021-07-05 11:30:00,1625484600,127270.0,127430.0,127015.0,127400.0,240160,5,1008989,-5.0,False
WIN,WIN$N,M30,2021-07-05 12:00:00,1625486400,127400.0,127615.0,127355.0,127525.0,219399,5,916948,0.0,False
WIN,WIN$N,M30,2021-07-05 12:30:00,1625488200,127530.0,127730.0,127490.0,127510.0,185509,5,808977,5.0,False
WIN,WIN$N,M30,2021-07-05 13:00:00,1625490000,127515.0,127790.0,127510.0,127745.0,136525,5,581733,5.0,False
WIN,WIN$N,M30,2021-07-05 13:30:00,1625491800,127750.0,127850.0,127570.0,127780.0,173766,5,698377,5.0,False
WIN,WIN$N,M30,2021-07-05 14:00:00,1625493600,127780.0,127915.0,127725.0,127735.0,150200,5,555143,0.0,False
WIN,WIN$N,M30,2021-07-05 14:30:00,1625495400,127740.0,127770.0,127350.0,127490.0,209026,5,792826,5.0,False
WIN,WIN$N,M30,2021-07-05 15:00:00,1625497200,127490.0,127505.0,127150.0,127410.0,212865,5,778144,0.0,False
WIN,WIN$N,M30,2021-07-05 15:30:00,1625499000,127410.0,127840.0,127325.0,127735.0,191231,5,738430,0.0,False
WIN,WIN$N,M30,2021-07-05 16:00:00,1625500800,127730.0,127800.0,127650.0,127730.0,117785,5,451266,-5.0,False
WIN,WIN$N,M30,2021-07-05 16:30:00,1625502600,127730.0,127785.0,127410.0,127545.0,171030,5,646481,0.0,False
WIN,WIN$N,M30,2021-07-05 17:00:00,1625504400,127545.0,127560.0,127365.0,127485.0,115302,5,444169,0.0,False
WIN,WIN$N,M30,2021-07-05 17:30:00,1625506200,127485.0,127755.0,127480.0,127700.0,66469,5,237770,0.0,False
WIN,WIN$N,M30,2021-07-06 09:00:00,1625562000,127525.0,127625.0,127005.0,127055.0,307086,5,1088061,-175.0,False
WIN,WIN$N,M30,2021-07-06 09:30:00,1625563800,127055.0,127275.0,126815.0,126890.0,372877,5,1430411,0.0,False
WIN,WIN$N,M30,2021-07-06 10:00:00,1625565600,126890.0,126925.0,126525.0,126550.0,391789,5,1685406,0.0,False
WIN,WIN$N,M30,2021-07-06 10:30:00,1625567400,126550.0,126900.0,126475.0,126675.0,436316,5,1878971,0.0,False
WIN,WIN$N,M30,2021-07-06 11:00:00,1625569200,126680.0,126710.0,125850.0,125990.0,442461,5,1977596,5.0,False
WIN,WIN$N,M30,2021-07-06 11:30:00,1625571000,125990.0,126190.0,125725.0,125770.0,377128,5,1698455,0.0,False
WIN,WIN$N,M30,2021-07-06 12:00:00,1625572800,125770.0,126230.0,125740.0,126125.0,269115,5,1190565,0.0,False
WIN,WIN$N,M30,2021-07-06 12:30:00,1625574600,126125.0,126275.0,125870.0,125955.0,244283,5,1044592,0.0,False
WIN,WIN$N,M30,2021-07-06 13:00:00,1625576400,125960.0,126060.0,125625.0,125740.0,246565,5,1093632,5.0,False
WIN,WIN$N,M30,2021-07-06 13:30:00,1625578200,125745.0,125770.0,125525.0,125710.0,213765,5,966032,5.0,False
WIN,WIN$N,M30,2021-07-06 14:00:00,1625580000,125705.0,125940.0,125600.0,125900.0,224174,5,958996,-5.0,False
WIN,WIN$N,M30,2021-07-06 14:30:00,1625581800,125905.0,126010.0,125680.0,125730.0,218721,5,935815,5.0,False
WIN,WIN$N,M30,2021-07-06 15:00:00,1625583600,125730.0,125730.0,125360.0,125425.0,271433,5,1147993,0.0,False
WIN,WIN$N,M30,2021-07-06 15:30:00,1625585400,125425.0,125625.0,125325.0,125600.0,186822,5,846271,0.0,False
WIN,WIN$N,M30,2021-07-06 16:00:00,1625587200,125600.0,125740.0,125430.0,125710.0,157585,5,704597,0.0,False
WIN,WIN$N,M30,2021-07-06 16:30:00,1625589000,125710.0,125725.0,125455.0,125470.0,167156,5,757364,0.0,False
WIN,WIN$N,M30,2021-07-06 17:00:00,1625590800,125470.0,125580.0,125465.0,125525.0,75185,5,313396,0.0,False
WIN,WIN$N,M30,2021-07-06 17:30:00,1625592600,125525.0,125535.0,125300.0,125360.0,57857,5,207078,0.0,False
WIN,WIN$N,M30,2021-07-07 09:00:00,1625648400,125980.0,126790.0,125900.0,126640.0,348968,5,1247364,620.0,False
WIN,WIN$N,M30,2021-07-07 09:30:00,1625650200,126635.0,126845.0,126480.0,126625.0,264904,5,1047344,-5.0,False
WIN,WIN$N,M30,2021-07-07 10:00:00,1625652000,126625.0,126940.0,126535.0,126550.0,398170,5,1657809,0.0,False
WIN,WIN$N,M30,2021-07-07 10:30:00,1625653800,126550.0,126680.0,126270.0,126485.0,492586,5,2078168,0.0,False
WIN,WIN$N,M30,2021-07-07 11:00:00,1625655600,126485.0,126500.0,125860.0,125925.0,381022,5,1742818,0.0,False
WIN,WIN$N,M30,2021-07-07 11:30:00,1625657400,125925.0,126255.0,125670.0,126220.0,335718,5,1519114,0.0,False
WIN,WIN$N,M30,2021-07-07 12:00:00,1625659200,126215.0,126715.0,126180.0,126675.0,277823,5,1301839,-5.0,False
WIN,WIN$N,M30,2021-07-07 12:30:00,1625661000,126675.0,126970.0,126630.0,126770.0,250236,5,1170897,0.0,False
WIN,WIN$N,M30,2021-07-07 13:00:00,1625662800,126770.0,126865.0,126590.0,126780.0,172592,5,814558,0.0,False
