ticker,symbol,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume,gap,roll
WSP,WSP$N,M30,2021-06-28 09:00:00,1624870800,4277.0,4282.0,4277.0,4282.0,66,1,197,,False
WSP,WSP$N,M30,2021-06-28 09:30:00,1624872600,4281.5,4285.0,4281.25,4284.5,18,1,175,-0.5,False
WSP,WSP$N,M30,2021-06-28 10:00:00,1624874400,4284.5,4285.5,4283.25,4283.25,21,1,111,0.0,False
WSP,WSP$N,M30,2021-06-28 10:30:00,1624876200,4283.0,4283.0,4272.75,4277.25,93,1,310,-0.25,False
WSP,WSP$N,M30,2021-06-28 11:00:00,1624878000,4280.0,4280.75,4276.0,4278.75,21,1,64,2.75,False
WSP,WSP$N,M30,2021-06-28 11:30:00,1624879800,4277.5,4280.0,4276.0,4277.25,16,1,99,-1.25,False
WSP,WSP$N,M30,2021-06-28 12:00:00,1624881600,4276.5,4276.5,4274.0,4274.0,11,1,96,-0.75,False
WSP,WSP$N,M30,2021-06-28 12:30:00,1624883400,4273.5,4277.75,4273.5,4277.0,19,1,129,-0.5,False
WSP,WSP$N,M30,2021-06-28 13:00:00,1624885200,4277.5,4277.75,4275.75,4275.75,7,1,25,0.5,False
WSP,WSP$N,M30,2021-06-28 13:30:00,1624887000,4275.0,4275.25,4274.0,4274.0,7,1,8,-0.75,False
WSP,WSP$N,M30,2021-06-28 14:00:00,1624888800,4273.5,4273.5,4271.5,4271.75,37,1,156,-0.5,False
WSP,WSP$N,M30,2021-06-28 14:30:00,1624890600,4273.75,4276.5,4273.5,4276.5,13,1,71,2.0,False
WSP,WSP$N,M30,2021-06-28 15:00:00,1624892400,4277.25,4279.0,4277.25,4278.25,20,1,165,0.75,False
WSP,WSP$N,M30,2021-06-28 15:30:00,1624894200,4279.25,4282.0,4279.25,4281.5,18,1,82,1.0,False
WSP,WSP$N,M30,2021-06-28 16:00:00,1624896000,4282.0,4284.0,4280.0,4284.0,24,1,160,0.5,False
WSP,WSP$N,M30,2021-06-28 16:30:00,1624897800,4284.0,4288.25,4283.0,4287.25,65,1,666,0.0,False
WSP,WSP$N,M30,2021-06-28 17:00:00,1624899600,4286.5,4287.5,4285.5,4286.25,13,1,458,-0.75,False
WSP,WSP$N,M30,2021-06-28 17:30:00,1624901400,4286.75,4290.0,4286.75,4290.0,27,1,71,0.5,False
WSP,WSP$N,M30,2021-06-29 09:00:00,1624957200,4283.5,4288.5,4283.25,4286.5,36,1,114,-6.5,False
WSP,WSP$N,M30,2021-06-29 09:30:00,1624959000,4286.5,4288.25,4286.5,4287.0,21,1,57,0.0,False
WSP,WSP$N,M30,2021-06-29 10:00:00,1624960800,4287.75,4292.25,4287.0,4291.5,27,1,144,0.75,False
WSP,WSP$N,M30,2021-06-29 10:30:00,1624962600,4292.5,4295.0,4291.5,4292.0,53,1,203,1.0,False
WSP,WSP$N,M30,2021-06-29 11:00:00,1624964400,4292.0,4294.25,4291.0,4293.25,20,1,75,0.0,False
WSP,WSP$N,M30,2021-06-29 11:30:00,1624966200,4294.0,4296.75,4293.0,4293.5,36,1,205,0.75,False
WSP,WSP$N,M30,2021-06-29 12:00:00,1624968000,4293.0,4293.5,4291.5,4293.5,10,1,37,-0.5,False
WSP,WSP$N,M30,2021-06-29 12:30:00,1624969800,4292.0,4292.0,4290.75,4292.0,10,1,103,-1.5,False
WSP,WSP$N,M30,2021-06-29 13:00:00,1624971600,4291.75,4293.0,4291.5,4293.0,10,1,201,-0.25,False
WSP,WSP$N,M30,2021-06-29 13:30:00,1624973400,4291.0,4293.0,4291.0,4291.5,7,1,40,-2.0,False
WSP,WSP$N,M30,2021-06-29 14:00:00,1624975200,4292.5,4292.5,4290.0,4290.0,17,1,159,1.0,False
WSP,WSP$N,M30,2021-06-29 14:30:00,1624977000,4290.5,4290.5,4288.75,4288.75,23,1,268,0.5,False
WSP,WSP$N,M30,2021-06-29 15:00:00,1624978800,4289.5,4293.0,4288.5,4288.5,23,1,70,0.75,False
WSP,WSP$N,M30,2021-06-29 15:30:00,1624980600,4288.25,4288.25,4284.0,4287.25,40,1,146,-0.25,False
WSP,WSP$N,M30,2021-06-29 16:00:00,1624982400,4287.5,4289.5,4286.0,4289.0,49,1,67,0.25,False
WSP,WSP$N,M30,2021-06-29 16:30:00,1624984200,4289.0,4290.5,4287.5,4288.5,29,1,150,0.0,False
WSP,WSP$N,M30,2021-06-29 17:00:00,1624986000,4289.25,4293.0,4289.25,4293.0,23,1,151,0.75,False
WSP,WSP$N,M30,2021-06-29 17:30:00,1624987800,4292.0,4292.0,4288.25,4288.25,19,1,41,-1.0,False
WSP,WSP$N,M30,2021-06-30 09:00:00,1625043600,4286.5,4289.75,4284.0,4284.0,31,1,93,-1.75,False
WSP,WSP$N,M30,2021-06-30 09:30:00,1625045400,4284.0,4286.0,4283.5,4284.75,11,1,18,0.0,False
